File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type,
Bd_D7_E6_dead,449,7,red,10,E6,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D7_E6_live,792.5,7,green,10,E6,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D7_E7_dead,455,7,red,10,E7,MC,Mt Cammerer,Autoclaved,10^3,used Sarah's count
Bd_D7_E7_live,1123,7,green,10,E7,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D7_E8_dead,294,7,red,10,E8,MC,Mt Cammerer,Autoclaved,10^3,used Sarah's count
Bd_D7_E8_live,699.5,7,green,10,E8,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D7_E9_dead,316.5,7,red,10,E9,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D7_E9_live,705.5,7,green,10,E10,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D7_E10_dead,394,7,red,10,E10,MC,Mt Cammerer,Autoclaved,10^5,used Sarah's count
Bd_D7_E10_live,567,7,green,10,E11,MC,Mt Cammerer,Autoclaved,10^5,used Sarah's count
Bd_D7_E11_dead,398,7,red,10,E11,MC,Mt Cammerer,Autoclaved,10^5,used Sarah's count
Bd_D7_E11_live,787,7,green,10,E12,MC,Mt Cammerer,Autoclaved,10^5,used Sarah's count
Bd_D7_E12_dead,510.5,7,red,10,E12,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D7_E12_live,693,7,green,10,E12,MC,Mt Cammerer,Autoclaved,10^5,used Sarah's count
Bd_D7_F1_dead,437,7,red,10,F1,DG,Davenport Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_F1_live,1477,7,green,10,F1,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D7_F2_dead,49,7,red,10,F2,DG,Davenport Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_F2_live,1679.5,7,green,10,F2,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D7_F3_dead,177,7,red,10,F3,DG,Davenport Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_F3_live,2013,7,green,10,F3,DG,Davenport Gap,Non-autoclaved,10^3,used Sarah's count
Bd_D7_F4_dead,884,7,red,10,F4,DG,Davenport Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_F4_live,1791,7,green,10,F4,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D7_F5_dead,784,7,red,10,F5,DG,Davenport Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_F5_live,1732.5,7,green,10,F5,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D7_F6_dead,709,7,red,10,F6,DG,Davenport Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_F6_live,2120,7,green,10,F6,DG,Davenport Gap,Non-autoclaved,10^5,used Sarah's count
Bd_D7_F7_dead,976,7,red,10,F7,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F7_live,609,7,green,10,E7,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F8_dead,471,7,red,10,F8,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F8_live,703,7,green,10,F8,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F9_dead,583,7,red,10,F9,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F9_live,496,7,green,10,F9,DG,Davenport Gap,Autoclaved,10^3,used Sarah's count
Bd_D7_F10_dead,750,7,red,10,F10,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_F10_live,928,7,green,10,F10,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_F11_dead,838,7,red,10,F11,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_F11_live,942,7,green,10,F11,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_F12_dead,649,7,red,10,F12,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
Bd_D7_F12_live,527,7,green,10,F12,DG,Davenport Gap,Autoclaved,10^5,used Sarah's count
